"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.10.2020","9.734,22","9.740,00","9.829,81","9.662,14","-","-0,04%"
"09.10.2020","9.737,90","9.763,38","9.927,69","9.618,70","-","-0,30%"
"08.10.2020","9.766,84","9.353,95","9.788,22","9.347,80","-","4,42%"
"07.10.2020","9.353,84","9.448,52","9.507,11","9.339,74","-","-0,99%"
"06.10.2020","9.447,70","9.558,35","9.671,42","9.400,25","-","-1,15%"
"05.10.2020","9.557,58","9.376,80","9.597,25","9.307,82","-","1,93%"
"02.10.2020","9.376,48","9.409,73","9.665,00","9.327,63","-","-0,37%"
"01.10.2020","9.411,32","9.344,98","9.413,08","9.247,46","-","0,71%"
"30.09.2020","9.344,67","9.254,57","9.399,89","9.252,09","-","0,98%"
"29.09.2020","9.253,56","9.442,85","9.470,88","9.230,49","-","-2,00%"
"28.09.2020","9.442,88","9.559,55","9.848,80","9.369,29","-","-1,20%"
"25.09.2020","9.557,99","9.607,14","9.607,17","9.468,49","-","-0,51%"
"24.09.2020","9.607,19","9.338,93","9.686,96","9.332,71","-","2,87%"
"23.09.2020","9.338,93","9.531,03","9.549,11","9.334,94","-","-2,02%"
"22.09.2020","9.531,03","9.440,39","9.583,20","9.394,22","-","0,96%"
"21.09.2020","9.440,35","9.543,36","9.543,36","9.305,71","-","-1,09%"
"18.09.2020","9.543,96","9.780,36","9.781,67","9.529,20","-","-2,42%"
"17.09.2020","9.781,07","9.788,72","9.806,81","9.674,16","-","-0,08%"
"16.09.2020","9.789,14","9.799,07","9.923,81","9.788,80","-","-0,10%"
"15.09.2020","9.798,90","9.941,82","9.982,91","9.776,52","-","-1,44%"
"14.09.2020","9.941,74","9.714,32","9.977,30","9.714,32","-","2,36%"
"11.09.2020","9.712,76","9.857,33","9.895,66","9.665,86","-","-1,46%"
"10.09.2020","9.856,82","10.137,11","10.158,48","9.853,02","-","-2,76%"
"09.09.2020","10.137,11","10.085,80","10.211,76","10.051,70","-","0,51%"
"08.09.2020","10.085,38","10.284,79","10.286,45","10.038,96","-","-1,95%"
"04.09.2020","10.286,39","10.256,77","10.375,07","10.075,31","-","0,29%"
"03.09.2020","10.256,69","10.228,82","10.536,68","10.130,09","-","0,27%"
"02.09.2020","10.228,69","10.233,52","10.283,08","10.110,11","-","-0,05%"
"01.09.2020","10.233,36","9.995,42","10.234,21","9.995,05","-","2,40%"
"31.08.2020","9.993,37","10.344,99","10.344,99","9.993,37","-","-3,41%"
"28.08.2020","10.346,29","10.212,97","10.363,61","10.212,97","-","1,31%"
"27.08.2020","10.212,82","10.122,29","10.320,84","10.106,87","-","0,90%"
"26.08.2020","10.121,45","10.329,68","10.390,60","9.977,37","-","-2,01%"
"25.08.2020","10.329,52","10.333,11","10.415,52","10.274,88","-","-0,03%"
"24.08.2020","10.332,50","10.235,27","10.418,94","10.235,27","-","0,96%"
"21.08.2020","10.234,41","10.251,65","10.253,04","10.111,35","-","-0,16%"
"20.08.2020","10.251,28","10.139,83","10.286,36","9.927,23","-","1,10%"
"19.08.2020","10.140,11","10.304,66","10.321,36","10.137,50","-","-1,60%"
"18.08.2020","10.304,66","10.003,00","10.318,95","10.003,00","-","3,02%"
"17.08.2020","10.002,73","10.322,71","10.336,64","9.896,77","-","-3,10%"
"14.08.2020","10.322,62","10.317,83","10.447,24","10.281,86","-","0,05%"
"13.08.2020","10.317,83","10.534,95","10.688,64","10.284,11","-","-2,05%"
"12.08.2020","10.533,25","10.577,40","10.737,32","10.415,41","-","-0,41%"
"11.08.2020","10.577,12","10.710,44","10.854,49","10.577,12","-","-1,23%"
"10.08.2020","10.709,02","10.654,97","10.759,00","10.499,13","-","0,54%"
"07.08.2020","10.651,35","10.820,24","10.903,72","10.579,53","-","-1,57%"
"06.08.2020","10.820,73","10.658,06","10.863,42","10.602,93","-","1,53%"
"05.08.2020","10.658,04","10.627,45","10.828,53","10.544,52","-","0,29%"
"04.08.2020","10.627,69","10.926,13","10.928,00","10.515,59","-","-2,73%"
"03.08.2020","10.926,13","10.850,49","11.074,51","10.744,80","-","0,69%"
"31.07.2020","10.850,73","11.118,28","11.159,90","10.820,58","-","-2,41%"
"30.07.2020","11.118,28","11.288,67","11.288,67","10.994,02","-","-1,51%"
"29.07.2020","11.289,12","11.105,67","11.297,36","11.105,67","-","1,65%"
"28.07.2020","11.105,66","11.203,99","11.234,58","11.062,65","-","-0,88%"
"27.07.2020","11.204,42","10.890,60","11.222,52","10.890,38","-","2,88%"
"24.07.2020","10.890,60","10.881,95","10.965,70","10.749,56","-","0,08%"
"23.07.2020","10.881,97","11.091,26","11.123,64","10.847,27","-","-1,87%"
"22.07.2020","11.088,95","11.154,93","11.188,70","10.944,09","-","-0,59%"
"21.07.2020","11.154,87","11.135,94","11.377,79","11.083,95","-","0,17%"
"20.07.2020","11.135,97","10.906,05","11.135,97","10.866,45","-","2,11%"
"17.07.2020","10.905,51","10.678,49","10.933,54","10.678,49","-","2,13%"
"16.07.2020","10.678,38","10.786,24","10.786,49","10.647,40","-","-0,99%"
"15.07.2020","10.785,03","10.675,92","10.866,34","10.675,92","-","1,03%"
"14.07.2020","10.675,59","10.525,08","10.679,21","10.465,91","-","1,44%"
"13.07.2020","10.524,42","10.619,48","10.747,93","10.524,42","-","-0,89%"
"10.07.2020","10.619,39","10.498,79","10.619,42","10.375,59","-","1,15%"
"09.07.2020","10.498,85","10.636,04","10.689,38","10.481,63","-","-1,29%"
"08.07.2020","10.635,90","10.296,90","10.654,26","10.296,90","-","3,29%"
"07.07.2020","10.296,90","10.545,27","10.545,49","10.253,42","-","-2,35%"
"06.07.2020","10.545,22","10.250,33","10.621,92","10.250,33","-","2,89%"
"03.07.2020","10.248,82","10.178,81","10.248,82","10.097,94","-","0,69%"
"02.07.2020","10.178,73","10.134,59","10.413,66","10.134,26","-","0,45%"
"01.07.2020","10.132,63","9.928,53","10.214,86","9.928,53","-","2,08%"
"30.06.2020","9.926,25","10.194,46","10.194,46","9.901,13","-","-2,63%"
"29.06.2020","10.194,23","9.890,76","10.194,23","9.890,76","-","3,07%"
"26.06.2020","9.890,18","10.157,72","10.160,62","9.839,51","-","-2,63%"
"25.06.2020","10.157,51","9.909,63","10.195,14","9.894,07","-","2,50%"
"24.06.2020","9.909,69","10.151,85","10.199,30","9.847,40","-","-2,39%"
"23.06.2020","10.151,85","10.099,33","10.371,72","10.085,43","-","0,53%"
"22.06.2020","10.098,51","10.242,76","10.299,89","10.024,45","-","-1,40%"
"19.06.2020","10.242,34","10.133,35","10.339,22","10.109,65","-","1,10%"
"18.06.2020","10.131,33","10.009,39","10.262,61","9.908,32","-","1,22%"
"17.06.2020","10.009,39","9.801,81","10.138,41","9.801,81","-","2,12%"
"16.06.2020","9.801,73","9.643,58","9.962,23","9.643,58","-","1,67%"
"15.06.2020","9.640,55","9.800,47","9.800,47","9.497,66","-","-1,64%"
"12.06.2020","9.801,11","10.007,85","10.007,85","9.629,42","-","-2,08%"
"10.06.2020","10.008,87","10.349,20","10.490,03","10.008,87","-","-3,28%"
"09.06.2020","10.347,95","10.463,09","10.481,09","10.162,10","-","-1,10%"
"08.06.2020","10.463,09","10.038,36","10.478,48","10.038,36","-","4,23%"
"05.06.2020","10.038,08","9.939,59","10.513,18","9.939,59","-","1,00%"
"04.06.2020","9.938,91","9.805,04","10.021,75","9.644,73","-","1,36%"
"03.06.2020","9.805,86","9.357,70","9.841,57","9.357,70","-","4,79%"
"02.06.2020","9.357,51","8.984,95","9.373,03","8.982,35","-","4,19%"
"01.06.2020","8.981,44","8.779,37","9.052,96","8.712,77","-","2,30%"
"29.05.2020","8.779,31","8.828,39","8.829,29","8.605,85","-","-0,55%"
"28.05.2020","8.828,21","8.932,49","8.996,14","8.792,16","-","-1,17%"
"27.05.2020","8.932,49","8.792,82","8.996,60","8.792,82","-","1,60%"
"26.05.2020","8.791,66","8.987,64","9.144,17","8.791,66","-","-2,18%"
"25.05.2020","8.987,56","8.456,42","9.007,54","8.456,40","-","6,29%"
"22.05.2020","8.455,91","8.467,64","8.523,97","8.309,79","-","-0,13%"
"21.05.2020","8.467,25","8.018,33","8.469,29","8.017,77","-","5,60%"
"20.05.2020","8.018,33","7.968,62","8.088,41","7.946,41","-","0,63%"
"19.05.2020","7.968,33","8.201,06","8.204,93","7.968,33","-","-2,84%"
"18.05.2020","8.201,03","7.779,36","8.222,38","7.779,34","-","5,43%"
"15.05.2020","7.778,86","7.932,39","8.038,68","7.778,10","-","-1,94%"
"14.05.2020","7.932,86","7.647,38","7.933,06","7.369,92","-","3,73%"
"13.05.2020","7.647,54","7.670,90","7.813,10","7.558,16","-","-0,30%"
"12.05.2020","7.670,89","7.907,47","7.994,81","7.670,89","-","-2,98%"
"11.05.2020","7.906,49","8.007,71","8.112,10","7.898,55","-","-1,27%"
"08.05.2020","8.008,46","7.775,06","8.114,19","7.775,06","-","3,01%"
"07.05.2020","7.774,67","8.093,45","8.136,18","7.767,67","-","-3,94%"
"06.05.2020","8.093,39","8.233,25","8.273,42","8.007,22","-","-1,69%"
"05.05.2020","8.232,19","8.151,66","8.436,89","8.151,66","-","0,99%"
"04.05.2020","8.151,52","8.410,37","8.410,37","8.058,00","-","-3,08%"
"30.04.2020","8.410,76","8.767,09","8.768,17","8.373,97","-","-4,08%"
"29.04.2020","8.768,19","8.615,32","8.812,14","8.542,38","-","1,79%"
"28.04.2020","8.614,18","8.105,39","8.645,04","8.105,39","-","6,32%"
"27.04.2020","8.102,28","7.792,70","8.252,37","7.792,54","-","3,99%"
"24.04.2020","7.791,60","8.462,04","8.462,04","7.552,74","-","-7,92%"
"23.04.2020","8.462,12","8.642,75","8.764,75","8.359,25","-","-2,08%"
"22.04.2020","8.641,74","8.597,86","8.811,80","8.558,48","-","0,51%"
"20.04.2020","8.597,86","8.663,40","8.727,19","8.445,06","-","-0,81%"
"17.04.2020","8.667,68","8.544,39","8.813,83","8.519,21","-","1,45%"
"16.04.2020","8.544,08","8.745,24","8.913,91","8.541,50","-","-2,27%"
"15.04.2020","8.742,80","8.913,50","8.933,17","8.658,87","-","-1,92%"
"14.04.2020","8.913,67","8.795,16","9.198,56","8.795,16","-","1,35%"
"13.04.2020","8.794,91","8.639,74","8.794,91","8.438,23","-","1,79%"
"09.04.2020","8.640,17","8.713,48","8.889,49","8.604,81","-","-0,79%"
"08.04.2020","8.709,34","8.432,93","8.796,06","8.393,53","-","3,17%"
"07.04.2020","8.441,94","8.144,70","8.831,13","8.144,70","-","3,70%"
"06.04.2020","8.140,59","7.586,90","8.330,48","7.586,90","-","7,31%"
"03.04.2020","7.586,00","7.876,95","7.881,62","7.369,02","-","-3,69%"
"02.04.2020","7.876,28","7.726,40","7.955,48","7.697,41","-","1,94%"
"01.04.2020","7.726,39","8.115,87","8.115,87","7.570,86","-","-4,81%"
"31.03.2020","8.116,88","8.403,79","8.404,84","8.010,02","-","-3,41%"
