,Date,Close,Open,High,Low,Volume,Var%
2195,2017-11-16,3562.95,3481.26,3580.82,3481.26,0,"2,36%"
2196,2017-11-17,3620.67,3561.89,3621.65,3554.61,0,"1,62%"
2197,2017-11-21,3667.78,3623.65,3687.73,3623.65,0,"1,30%"
2198,2017-11-22,3645.26,3667.85,3675.27,3637.02,0,"-0,61%"
2199,2017-11-23,3632.30,3645.23,3645.24,3608.25,0,"-0,36%"
2200,2017-11-24,3622.02,3632.30,3637.07,3618.54,0,"-0,28%"
2201,2017-11-27,3618.59,3622.01,3622.02,3567.38,0,"-0,09%"
2202,2017-11-28,3623.61,3618.78,3661.67,3618.78,0,"0,14%"
2203,2017-11-29,3559.03,3623.61,3632.07,3555.28,0,"-1,78%"
2204,2017-11-30,3520.24,3559.43,3559.78,3479.80,0,"-1,09%"
2205,2017-12-01,3526.32,3520.24,3533.22,3491.70,0,"0,17%"
2206,2017-12-04,3549.87,3526.35,3571.32,3523.88,0,"0,67%"
2207,2017-12-05,3535.95,3549.87,3598.16,3525.04,0,"-0,39%"
2208,2017-12-06,3578.74,3535.92,3586.85,3519.02,0,"1,21%"
2209,2017-12-07,3544.21,3578.00,3578.00,3497.94,0,"-0,96%"
2210,2017-12-08,3571.74,3544.30,3583.23,3544.30,0,"0,78%"
2211,2017-12-11,3552.98,3571.86,3597.55,3543.48,0,"-0,53%"
2212,2017-12-12,3596.76,3552.98,3596.76,3513.02,0,"1,23%"
2213,2017-12-13,3563.58,3596.82,3639.71,3543.40,0,"-0,92%"
2214,2017-12-14,3543.06,3563.58,3563.68,3519.45,0,"-0,58%"
2215,2017-12-15,3552.83,3542.51,3574.40,3533.00,0,"0,28%"
2216,2017-12-18,3577.46,3553.79,3588.96,3553.79,0,"0,69%"
2217,2017-12-19,3555.21,3577.46,3583.54,3532.24,0,"-0,62%"
2218,2017-12-20,3581.94,3555.49,3588.30,3555.46,0,"0,75%"
2219,2017-12-21,3638.16,3582.01,3638.16,3572.60,0,"1,57%"
2220,2017-12-22,3646.23,3638.06,3648.88,3624.99,0,"0,22%"
2221,2017-12-26,3689.60,3646.23,3696.40,3635.69,0,"1,19%"
2222,2017-12-27,3746.60,3689.80,3747.15,3689.80,0,"1,54%"
2223,2017-12-28,3759.89,3746.60,3762.66,3744.96,0,"0,35%"
2224,2018-01-02,3788.71,3760.11,3796.56,3760.03,0,"0,77%"
2225,2018-01-03,3779.88,3788.13,3810.77,3770.31,0,"-0,23%"
2226,2018-01-04,3791.28,3779.88,3811.46,3776.94,0,"0,30%"
2227,2018-01-05,3809.46,3791.57,3809.46,3773.06,0,"0,48%"
2228,2018-01-08,3778.43,3809.46,3810.03,3765.49,0,"-0,81%"
2229,2018-01-09,3757.57,3778.08,3782.09,3751.15,0,"-0,55%"
2230,2018-01-10,3737.09,3757.41,3757.41,3724.80,0,"-0,55%"
2231,2018-01-11,3754.49,3737.12,3754.49,3729.52,0,"0,47%"
2232,2018-01-12,3733.92,3748.84,3748.84,3718.78,0,"-0,55%"
2233,2018-01-15,3764.05,3733.86,3771.34,3733.86,0,"0,81%"
2234,2018-01-16,3760.43,3763.91,3783.90,3750.54,0,"-0,10%"
2235,2018-01-17,3801.88,3762.19,3801.88,3757.63,0,"1,10%"
2236,2018-01-18,3770.66,3801.91,3803.88,3761.62,0,"-0,82%"
2237,2018-01-19,3771.46,3771.12,3787.55,3766.11,0,"0,02%"
2238,2018-01-22,3756.94,3771.49,3777.85,3743.22,0,"-0,38%"
2239,2018-01-23,3694.42,3757.06,3757.13,3684.97,0,"-1,66%"
2240,2018-01-24,3784.77,3694.67,3784.77,3694.67,0,"2,45%"
2241,2018-01-26,3836.77,3784.81,3842.13,3784.81,0,"1,37%"
2242,2018-01-29,3812.67,3836.59,3836.59,3791.45,0,"-0,63%"
2243,2018-01-30,3797.07,3812.60,3814.38,3783.42,0,"-0,41%"
2244,2018-01-31,3811.04,3797.16,3849.24,3797.16,0,"0,37%"
2245,2018-02-01,3848.39,3811.07,3864.81,3810.73,0,"0,98%"
2246,2018-02-02,3787.73,3848.39,3848.39,3767.06,0,"-1,58%"
2247,2018-02-05,3702.67,3787.51,3787.51,3702.67,0,"-2,25%"
2248,2018-02-06,3711.36,3702.58,3724.50,3619.90,0,"0,23%"
2249,2018-02-07,3684.37,3711.36,3730.20,3673.52,0,"-0,73%"
2250,2018-02-08,3631.71,3684.47,3709.76,3616.30,0,"-1,43%"
2251,2018-02-09,3585.87,3631.27,3631.27,3543.23,0,"-1,26%"
2252,2018-02-14,3688.82,3585.87,3696.54,3585.87,0,"2,87%"
2253,2018-02-15,3702.19,3689.28,3723.55,3689.28,0,"0,36%"
2254,2018-02-16,3685.10,3702.19,3706.84,3665.36,0,"-0,46%"
2255,2018-02-19,3694.91,3685.28,3695.16,3675.83,0,"0,27%"
2256,2018-02-20,3716.79,3694.54,3722.09,3661.99,0,"0,59%"
2257,2018-02-21,3720.17,3716.79,3745.40,3715.31,0,"0,09%"
2258,2018-02-22,3747.60,3719.89,3752.81,3718.90,0,"0,74%"
2259,2018-02-23,3724.27,3747.85,3758.21,3706.24,0,"-0,62%"
2260,2018-02-26,3708.88,3724.73,3746.99,3692.54,0,"-0,41%"
2261,2018-02-27,3680.97,3708.87,3710.08,3665.79,0,"-0,75%"
2262,2018-02-28,3674.68,3680.97,3699.76,3668.00,0,"-0,17%"
2263,2018-03-01,3700.14,3674.83,3732.31,3671.32,0,"0,69%"
2264,2018-03-02,3721.98,3700.22,3721.98,3655.03,0,"0,59%"
2265,2018-03-05,3665.29,3721.96,3721.96,3650.88,0,"-1,52%"
2266,2018-03-06,3637.74,3665.50,3680.47,3637.66,0,"-0,75%"
2267,2018-03-07,3651.23,3637.96,3651.63,3603.19,0,"0,37%"
2268,2018-03-08,3647.29,3651.26,3666.50,3630.38,0,"-0,11%"
2269,2018-03-09,3705.72,3647.29,3705.74,3647.29,0,"1,60%"
2270,2018-03-12,3746.96,3705.72,3756.68,3705.72,0,"1,11%"
2271,2018-03-13,3747.56,3747.06,3776.12,3728.32,0,"0,02%"
2272,2018-03-14,3742.14,3747.73,3770.72,3724.09,0,"-0,14%"
2273,2018-03-15,3700.10,3742.20,3744.03,3692.17,0,"-1,12%"
2274,2018-03-16,3687.17,3700.10,3703.81,3671.37,0,"-0,35%"
2275,2018-03-19,3679.83,3687.11,3689.42,3653.86,0,"-0,20%"
2276,2018-03-20,3662.20,3680.12,3692.80,3657.86,0,"-0,48%"
2277,2018-03-21,3667.78,3661.96,3678.20,3645.43,0,"0,15%"
2278,2018-03-22,3692.43,3667.62,3710.33,3660.78,0,"0,67%"
2279,2018-03-23,3638.22,3692.43,3692.43,3627.01,0,"-1,47%"
2280,2018-03-26,3646.87,3638.59,3669.68,3631.34,0,"0,24%"
2281,2018-03-27,3597.75,3645.45,3655.49,3592.14,0,"-1,35%"
2282,2018-03-28,3576.03,3597.49,3597.49,3560.40,0,"-0,60%"
2283,2018-03-29,3651.14,3576.31,3654.70,3576.31,0,"2,10%"
2284,2018-04-02,3614.49,3651.14,3657.77,3592.96,0,"-1,00%"
2285,2018-04-03,3615.87,3614.60,3637.28,3592.66,0,"0,04%"
2286,2018-04-04,3605.20,3615.82,3615.82,3544.95,0,"-0,30%"
2287,2018-04-05,3609.51,3605.48,3659.94,3605.48,0,"0,12%"
