,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
3092,3092,2017-07-14,7184.36,7156.81,7203.88,7148.65,0,"0,39%",0.0038719233125448227
3093,3093,2017-07-17,7157.58,7182.91,7182.91,7133.47,0,"-0,37%",-0.0037275415379554033
3094,3094,2017-07-18,7188.99,7158.03,7188.99,7125.49,0,"0,44%",0.00438835471868515
3095,3095,2017-07-19,7136.11,7189.19,7218.17,7108.75,0,"-0,74%",-0.007355692330747843
3096,3096,2017-07-20,7152.19,7135.59,7207.72,7135.59,0,"0,23%",0.002253328450024128
3097,3097,2017-07-21,7131.37,7151.4,7179.85,7115.81,0,"-0,29%",-0.0029109965544193983
3098,3098,2017-07-24,7140.16,7130.41,7151.68,7103.61,0,"0,12%",0.0012325822608545423
3099,3099,2017-07-25,7172.98,7140.21,7207.91,7138.56,0,"0,46%",0.004596535582095385
3100,3100,2017-07-26,7108.99,7172.98,7203.75,7095.83,0,"-0,89%",-0.008920978754758835
3101,3101,2017-07-27,7116.39,7109.89,7156.7,7099.19,0,"0,10%",0.0010409355163574219
3102,3102,2017-07-28,7119.68,7116.66,7120.47,7065.65,0,"0,05%",0.0004623130662366748
3103,3103,2017-07-31,7146.33,7119.81,7156.15,7098.42,0,"0,37%",0.0037431458476930857
3104,3104,2017-08-01,7273.95,7146.37,7292.89,7146.37,0,"1,79%",0.017858117818832397
3105,3105,2017-08-02,7342.17,7269.14,7362.19,7230.98,0,"0,94%",0.009378673508763313
3106,3106,2017-08-03,7316.26,7341.99,7361.48,7303.87,0,"-0,35%",-0.0035289295483380556
3107,3107,2017-08-04,7295.67,7316.26,7351.0,7272.46,0,"-0,28%",-0.002814279403537512
3108,3108,2017-08-07,7390.79,7295.63,7400.99,7287.28,0,"1,30%",0.01303787063807249
3109,3109,2017-08-08,7415.36,7390.79,7490.79,7374.01,0,"0,33%",0.0033244078513234854
3110,3110,2017-08-09,7366.65,7407.17,7407.17,7315.73,0,"-0,66%",-0.006568797864019871
3111,3111,2017-08-10,7314.79,7366.65,7366.95,7257.66,0,"-0,70%",-0.0070398347452282906
3112,3112,2017-08-11,7366.52,7314.82,7394.26,7269.46,0,"0,71%",0.007071973290294409
3113,3113,2017-08-14,7479.45,7366.81,7531.45,7364.25,0,"1,53%",0.015330169349908829
3114,3114,2017-08-15,7499.1,7483.8,7566.48,7482.15,0,"0,26%",0.0026271985843777657
3115,3115,2017-08-16,7485.69,7498.71,7542.98,7435.71,0,"-0,18%",-0.001788214547559619
3116,3116,2017-08-17,7396.77,7481.9,7482.25,7382.87,0,"-1,19%",-0.0118786646053195
3117,3117,2017-08-18,7512.45,7396.77,7512.45,7396.77,0,"1,56%",0.015639258548617363
3118,3118,2017-08-21,7510.07,7512.03,7569.52,7490.1,0,"-0,03%",-0.00031680744723416865
3119,3119,2017-08-22,7674.81,7510.17,7714.79,7510.17,0,"2,19%",0.021935880184173584
3120,3120,2017-08-23,7736.68,7675.68,7744.19,7673.95,0,"0,81%",0.00806143693625927
3121,3121,2017-08-24,7750.38,7735.64,7769.38,7713.88,0,"0,18%",0.0017707854276522994
3122,3122,2017-08-25,7724.93,7750.46,7784.7,7695.73,0,"-0,33%",-0.0032837099861353636
3123,3123,2017-08-28,7689.18,7724.97,7736.44,7666.37,0,"-0,46%",-0.004627873655408621
3124,3124,2017-08-29,7745.61,7689.1,7745.61,7621.03,0,"0,73%",0.007338883820921183
3125,3125,2017-08-30,7687.15,7745.73,7761.16,7653.8,0,"-0,75%",-0.0075475010089576244
3126,3126,2017-08-31,7626.19,7687.65,7704.88,7591.52,0,"-0,79%",-0.007930116727948189
3127,3127,2017-09-01,7772.22,7626.15,7819.09,7625.91,0,"1,91%",0.019148487597703934
3128,3128,2017-09-04,7760.93,7771.85,7778.99,7737.11,0,"-0,15%",-0.0014526094309985638
3129,3129,2017-09-05,7762.27,7760.85,7891.92,7724.37,0,"0,02%",0.00017265972564928234
3130,3130,2017-09-06,7903.07,7764.03,7933.65,7764.03,0,"1,81%",0.018139023333787918
3131,3131,2017-09-08,7899.45,7903.36,7940.85,7864.97,0,"-0,05%",-0.00045804984983988106
3132,3132,2017-09-11,8055.66,7900.03,8097.09,7900.03,0,"1,98%",0.019774794578552246
3133,3133,2017-09-12,8036.62,8055.9,8107.56,8020.15,0,"-0,24%",-0.0023635555990040302
3134,3134,2017-09-13,8066.58,8036.21,8116.57,7987.04,0,"0,37%",0.0037279354874044657
3135,3135,2017-09-14,8081.09,8065.48,8126.6,8043.42,0,"0,18%",0.0017987797036767006
3136,3136,2017-09-15,8215.23,8080.63,8234.3,8065.89,0,"1,66%",0.016599245369434357
3137,3137,2017-09-18,8257.38,8215.81,8288.1,8207.67,0,"0,51%",0.005130714736878872
3138,3138,2017-09-19,8264.51,8257.38,8272.69,8167.73,0,"0,09%",0.0008634700207039714
3139,3139,2017-09-20,8242.27,8264.29,8321.75,8150.06,0,"-0,27%",-0.0026910246815532446
3140,3140,2017-09-21,8256.15,8242.33,8328.78,8209.56,0,"0,17%",0.001684002112597227
3141,3141,2017-09-22,8252.91,8256.15,8285.62,8186.82,0,"-0,04%",-0.0003924347402062267
3142,3142,2017-09-25,8132.61,8250.36,8251.32,8111.15,0,"-1,46%",-0.014576676301658154
3143,3143,2017-09-26,8128.76,8135.02,8213.89,8128.76,0,"-0,05%",-0.00047340276069007814
